Protein	HubType
ACT1	date
ADA2	date
AKR1	party
APC1	party
APC11	date
APC2	party
APC4	party
APC5	party
APC9	party
ARP2	party
ATP1	party
ATP16	party
ATP2	party
ATP3	party
ATP5	party
BEM1	date
BET3	date
BET5	date
BUD6	date
CDC10	party
CDC11	party
CDC12	party
CDC16	party
CDC23	party
CDC24	date
CDC25	date
CDC26	party
CDC27	party
CDC28	date
CDC42	date
CDC53	party
CFT1	party
CFT2	date
CLN3	date
CMD1	date
COP1	party
CUP5	party
DCP1	date
DIS3	party
DMC1	date
DOC1	date
EMP24	party
FIP1	date
FUS3	date
GCN5	date
GIN4	party
GIP1	date
GLC7	date
GSG1	date
GSP1	date
HFI1	date
HSP82	party
KAP95	party
KEM1	party
KRE11	date
KSS1	date
LSM1	party
LSM2	date
LSM4	date
LSM5	date
LSM6	date
LSM7	date
LSM8	date
MED2	date
MED4	date
MED7	date
MED8	date
MLH1	party
MOB1	date
NAM7	party
NGG1	date
NSP1	date
NUP1	date
ORC1	party
PAB1	date
PAN1	date
PAP1	date
PAT1	date
PFS2	party
PGD1	date
PHO85	date
POP7	date
PPA1	party
PRE1	party
PRE8	party
PRP4	date
PRP6	date
PRP8	party
PRT1	party
PTA1	party
RET1	party
RET2	party
RNA14	date
ROX3	date
RPA12	party
RPA135	party
RPA190	party
RPB10	party
RPB3	party
RPB5	party
RPB7	date
RPB8	party
RPB9	party
RPC19	party
RPC25	party
RPC34	party
RPC40	party
RPN10	party
RPN11	party
RPN12	party
RPN3	party
RPN5	party
RPN6	party
RPN7	party
RPN8	party
RPN9	party
RPO21	date
RPO26	party
RPO31	party
RPT1	party
RPT2	party
RPT3	party
RPT4	party
RPT5	party
RPT6	party
RRP4	party
RRP42	party
RRP43	party
RRP45	party
RRP46	party
RVS167	party
SCL1	party
SEC13	party
SEC17	party
SEC22	party
SEC23	party
SEC24	party
SEC27	party
SEC9	date
SED5	party
SIN3	date
SIN4	date
SIR4	date
SKI6	party
SKP1	date
SMC1	party
SMD1	party
SNF1	party
SNF5	date
SNP1	date
SPA2	date
SPC24	date
SPH1	date
SPO12	date
SPT15	date
SPT20	date
SPT3	date
SPT7	date
SPT8	date
SRB4	date
SRB6	date
SRP1	party
STE11	date
STE4	date
STE5	party
STO1	date
STV1	date
SXM1	party
TAF145	date
TAF17	date
TAF19	date
TAF25	date
TAF60	date
TAF61	party
TAF90	date
TFP1	party
TFP3	party
TID3	party
TIF4631	party
TLG2	party
TOM40	party
TRA1	date
TRS120	date
TRS130	date
TRS20	date
TRS23	date
TRS31	date
TRS33	date
TSM1	date
TUB4	party
VMA2	party
VMA4	party
VMA6	party
VMA7	party
VMA8	party
VPH1	party
VTI1	party
YSH1	party
YTH1	date
