PROTEINA	PROTEINB
AAR2	PRP8
ABP1	SRV2
ABP1	ACT1
ABP1	RVS167
ACT1	IQG1
ACT1	SRV2
ACT1	AIP1
ACT1	COF1
ACT1	OYE2
ACT1	TWF1
ACT1	TPM2
ACT1	BUD6
ACT1	BNI1
ACT1	PFY1
ADA2	GCN5
ADA2	TAF61
ADA2	SPT3
ADA2	TAF60
ADA2	SPT15
AFG3	YTA12
AFR1	IQG1
AFR1	CDC12
AIP2	ACT1
AIR1	TRF4
AKL1	SKI8
AKR1	IQG1
AKR1	STE18
AKR1	STE4
ANP1	MNN9
ANP1	HOC1
APC1	APC9
APC1	APC11
APC1	APC4
APC1	CDC26
APC1	DOC1
APC1	CDC16
APC1	CDC23
APC2	APC1
APC2	APC4
APC2	APC11
APC2	CDC26
APC2	APC9
APC4	APC11
APC5	APC1
APC5	APC9
APC5	CDC16
APC5	APC2
APC5	CDC23
APC5	CDC26
APC5	APC11
APC5	APC4
APC5	DOC1
APC9	CDC16
APC9	CDC23
APC9	APC4
APC9	CDC26
APC9	DOC1
APC9	APC11
APG12	APG17
APG14	VPS30
APG17	IPI3
APL2	APL4
APL2	APM1
APL2	APS1
APL3	APM4
APL3	APL1
APL3	APS2
APL6	APL5
APM1	APL4
APM2	APL2
APM3	APL5
APM3	APL6
APS1	APL4
APS3	APL5
ARC1	MES1
ARC1	YGL245W
ARC15	ARC35
ARC15	ARC19
ARC15	ARP3
ARC15	ARC18
ARC18	ARC35
ARC19	ARC35
ARC19	ARC18
ARC40	ARP2
ARG80	ARG81
ARP1	NIP100
ARP1	SRP1
ARP1	JNM1
ARP2	ARC35
ARP2	ARC19
ARP2	ARC15
	
ARP2	ARP3
ARP2	ARC18
ARP2	SRP1
ARP3	ARC35
ARP3	ARC18
ARP3	ARC19
ARP4	HTA1
ATC1	BUD6
ATP1	OLI1
ATP1	ATP6
ATP1	ATP2
ATP1	ATP5
ATP1	ATP3
ATP1	ATP16
ATP1	TIM11
ATP16	OLI1
ATP16	ATP6
ATP16	ATP2
ATP16	ATP5
ATP17	ATP4
ATP2	OLI1
ATP2	ATP6
ATP3	OLI1
ATP3	ATP16
ATP3	ATP6
ATP3	ATP2
ATP3	ATP5
ATP4	ATP6
ATP5	OLI1
ATP5	ATP4
ATP5	ATP6
ATP5	ATP2
ATP6	OLI1
AUT7	AUT2
BCK1	MKK2
BCK1	MKK1
BCY1	TPK2
BCY1	TPK3
BCY1	TPK1
BDP1	TFC4
BEM1	CDC42
BEM1	STE20
BEM1	ACT1
BEM1	STE5
BEM1	AIP2
BEM1	BOI2
BEM1	RSR1
BEM1	FAR1
BET1	SEC23
BET1	SEC24
BET3	TRS33
BET3	BET5
BET3	TRS130
BET4	BET2
BET5	KRE11
BET5	TRS31
BET5	TRS23
BET5	GSG1
BET5	TRS120
BFA1	TEM1
BIK1	TUB1
BIM1	TUB3
BIM1	BIK1
BNI1	PFY1
BNR1	PFY1
BNR1	HOF1
BNR1	RHO4
BOI1	CDC42
BOI1	BEM1
BRF1	RPC34
BRR2	SNP1
BUB1	BUB3
BUB1	MAD1
BUB2	TEM1
BUD13	IST3
BUD32	KAE1
BUD6	BNI1
BUD6	SPC24
BUD6	STE11
BUR2	SGV1
CAC2	RLF2
CAF20	TIF4631
CAP2	CAP1
CAR1	HYP2
CBF1	MET4
CBF2	MCK1
CBF2	BIR1
CBF5	NAF1
CBF5	MCK1
CCC2	ATX1
CCR4	POP2
CCR4	CDC36
	
CCR4	MOT2
CCR4	DBF2
CCR4	CDC39
CCZ1	YPT7
CDC10	BNI4
CDC10	CDC11
CDC10	SHS1
CDC10	GIN4
CDC10	CDC12
CDC10	CDC3
CDC11	CDC3
CDC11	SHS1
CDC11	SPR28
CDC12	CDC3
CDC12	CDC11
CDC12	SHS1
CDC13	STN1
CDC15	TEM1
CDC16	APC2
CDC16	CDC26
CDC16	CDC23
CDC16	APC4
CDC16	APC11
CDC19	MCK1
CDC20	HSL1
CDC20	MAD2
CDC23	APC2
CDC23	CDC26
CDC23	APC11
CDC23	APC4
CDC24	STE4
CDC24	RSR1
CDC24	AKR1
CDC24	FAR1
CDC24	CDC42
CDC24	BEM1
CDC25	HSP82
CDC25	RAS2
CDC26	APC4
CDC26	APC11
CDC27	APC5
CDC27	APC2
CDC27	APC1
CDC27	CDC16
CDC27	DOC1
CDC27	APC4
CDC27	APC11
CDC27	CDC26
CDC27	CDC23
CDC28	CLB5
CDC28	CLB2
CDC28	CLN2
CDC28	CLN1
CDC28	CDC6
CDC28	CAK1
CDC28	MPT5
CDC28	SIC1
CDC31	KAR1
CDC33	CAF20
CDC34	UBI4
CDC34	CDC4
CDC34	SKP1
CDC36	NOT5
CDC36	ADA2
CDC39	NOT5
CDC39	NOT3
CDC39	MOT2
CDC39	POP2
CDC4	CDC6
CDC42	BEM4
CDC42	IQG1
CDC42	CLA4
CDC42	BNI1
CDC43	RAM2
CDC45	CDC47
