alkylated DNA	REACTION1
REACTION1	DNAn
REACTION1	alkylated nucleobase
acetyl-CoA	REACTION2
1-alkyl-2-lyso-sn-glycero-3-phosphocholine	REACTION2
REACTION2	1-alkyl-2-acetyl-sn-glycero-3-phosphocholine
REACTION2	coenzyme A
deoxyribonucleoside triphosphate	REACTION3
(deoxynucleotides)(n)	REACTION3
REACTION3	(deoxynucleotides)(n+1)
REACTION3	diphosphate
N,N'-diacetylchitobiose	REACTION4
REACTION4	N-acetyl-D-glucosamine
alcohol	REACTION5
3'-phosphoadenylyl-sulfate	REACTION5
REACTION5	adenosine 3',5'-bisphosphate
REACTION5	organosulfate
(20S)-17,20-dihydroxypregn-4-en-3-one	REACTION6
NAD(P)+	REACTION6
REACTION6	17-alpha-hydroxyprogesterone
REACTION6	NAD(P)H
[lipoyl-carrier protein] N6-octanoyl-L-lysine	REACTION7
S-adenosyl-L-methionine	REACTION7
sulfurated [sulfur carrier]	REACTION7
reduced [2Fe-2S] ferredoxin	REACTION7
REACTION7	[lipoyl-carrier protein] N6-lipoyl-L-lysine
REACTION7	5'-deoxyadenosine
REACTION7	L-methionine
REACTION7	unsulfurated [sulfur carrier]
REACTION7	oxidized [2Fe-2S] ferredoxin
L-thyroxine	REACTION8
UDP-alpha-D-glucuronate	REACTION8
REACTION8	L-thyroxine phenolic beta-D-glucuronide
REACTION8	UDP
[dermatan]-N-acetyl-D-galactosamine	REACTION9
3'-phosphoadenylyl-sulfate	REACTION9
REACTION9	adenosine 3',5'-bisphosphate
REACTION9	[dermatan]-4-O-sulfo-N-acetyl-D-galactosamine
[protein]-L-tyrosine phosphate	REACTION10
REACTION10	[protein]-L-tyrosine
REACTION10	phosphate
ATP	REACTION11
REACTION11	ADP
RH	REACTION12
reduced [NADPH-hemoprotein reductase]	REACTION12
REACTION12	ROH
REACTION12	oxidized [NADPH-hemoprotein reductase]
[protein] (L-serine/L-threonine) phosphate	REACTION13
REACTION13	[protein]-(L-serine/L-threonine)
REACTION13	phosphate
dADP	REACTION14
ATP	REACTION14
REACTION14	dATP
REACTION14	ADP
cotinine	REACTION15
reduced flavoprotein	REACTION15
REACTION15	N'-hydroxymethyl-norcotinine
REACTION15	oxidized flavoprotein
(S)-malate	REACTION16
NAD+	REACTION16
REACTION16	oxaloacetate
REACTION16	NADH
(S)-malate[mitochondrial lumen]	REACTION17
NAD+[mitochondrial lumen]	REACTION17
REACTION17	oxaloacetate[mitochondrial lumen]
REACTION17	NADH[mitochondrial lumen]
peptide	REACTION18
REACTION18	peptide
REACTION18	L-glutamate
[protein]-(L-serine/L-threonine)	REACTION19
ATP	REACTION19
REACTION19	[protein] (L-serine/L-threonine) phosphate
REACTION19	ADP
ATP	REACTION20
REACTION20	ADP
REACTION20	phosphate
2-methyl-3-hydroxybutyryl-CoA	REACTION21
REACTION21	(E)-2-methylcrotonoyl-CoA
RNA-DNA hybrid	REACTION22
REACTION22	DNA
REACTION22	nucleoside 5'-monophosphate
