praf	pmek	plcg	PIP2	PIP3	p44.42	pakts473	PKA	PKC	P38	pjnk	expt
low	low	low	low	high	low	low	medium	medium	high	high	1_cd3cd28
low	low	medium	low	low	medium	medium	medium	low	low	high	1_cd3cd28
medium	high	medium	low	medium	medium	medium	medium	medium	medium	medium	1_cd3cd28
medium	high	medium	low	low	low	low	medium	medium	medium	medium	1_cd3cd28
low	medium	low	low	medium	medium	medium	low	low	medium	high	1_cd3cd28
low	low	medium	low	low	medium	medium	medium	medium	high	high	1_cd3cd28
medium	medium	low	high	medium	low	low	high	medium	medium	medium	1_cd3cd28
medium	low	medium	medium	medium	medium	medium	medium	low	medium	medium	1_cd3cd28
high	high	low	low	high	low	low	medium	high	high	medium	1_cd3cd28
low	medium	low	high	high	medium	high	low	medium	medium	high	1_cd3cd28
low	low	medium	low	low	medium	medium	medium	medium	high	medium	1_cd3cd28
medium	medium	low	low	medium	medium	medium	medium	high	high	medium	1_cd3cd28
high	medium	low	medium	low	low	low	medium	medium	high	high	1_cd3cd28
low	medium	low	low	medium	medium	low	medium	medium	medium	high	1_cd3cd28
low	medium	low	low	high	low	low	medium	medium	low	low	1_cd3cd28
medium	low	medium	low	low	medium	medium	medium	high	high	NA	1_cd3cd28
low	medium	medium	low	medium	low	medium	low	high	high	low	1_cd3cd28
medium	medium	low	medium	medium	high	medium	low	medium	medium	low	1_cd3cd28
low	medium	low	high	medium	medium	medium	low	high	medium	medium	1_cd3cd28
medium	low	medium	high	medium	high	high	high	medium	medium	medium	1_cd3cd28
medium	low	low	medium	medium	medium	medium	high	medium	medium	medium	1_cd3cd28
low	low	medium	low	low	low	low	low	medium	medium	medium	1_cd3cd28
medium	medium	NA	high	medium	high	medium	high	NA	high	low	1_cd3cd28
medium	high	medium	medium	medium	low	medium	medium	high	high	high	1_cd3cd28
medium	high	medium	low	low	high	high	high	high	high	medium	1_cd3cd28
low	NA	low	high	high	medium	medium	high	medium	medium	low	1_cd3cd28
medium	medium	medium	low	low	medium	medium	medium	medium	medium	low	1_cd3cd28
medium	medium	medium	low	low	low	medium	medium	high	high	high	1_cd3cd28
low	medium	medium	medium	medium	high	medium	low	medium	medium	high	1_cd3cd28
medium	medium	medium	medium	high	low	low	high	high	medium	medium	1_cd3cd28
medium	low	medium	low	low	medium	medium	high	medium	medium	medium	1_cd3cd28
medium	medium	medium	low	medium	low	low	high	high	high	medium	1_cd3cd28
medium	high	low	high	medium	low	medium	medium	high	medium	medium	1_cd3cd28
medium	low	medium	low	medium	low	low	medium	high	high	medium	1_cd3cd28
medium	medium	low	medium	low	medium	medium	low	high	medium	medium	1_cd3cd28
medium	low	low	low	high	medium	medium	medium	high	medium	medium	1_cd3cd28
medium	medium	medium	medium	medium	high	medium	medium	medium	medium	medium	1_cd3cd28
high	medium	low	medium	medium	low	low	high	low	medium	high	1_cd3cd28
medium	low	medium	medium	high	low	medium	medium	high	high	high	1_cd3cd28
medium	medium	low	low	medium	high	high	high	medium	medium	medium	1_cd3cd28
high	medium	high	medium	medium	medium	low	medium	low	low	high	1_cd3cd28
high	high	low	high	high	high	medium	low	medium	medium	medium	1_cd3cd28
low	low	NA	medium	medium	low	low	low	low	medium	high	1_cd3cd28
medium	medium	high	medium	medium	medium	low	medium	medium	low	low	1_cd3cd28
medium	low	medium	medium	medium	low	low	medium	low	low	high	1_cd3cd28
medium	medium	low	low	high	low	low	medium	high	high	medium	1_cd3cd28
medium	high	low	low	medium	medium	medium	high	high	high	high	1_cd3cd28
medium	high	low	low	medium	medium	medium	low	medium	high	medium	1_cd3cd28
medium	high	low	medium	high	low	medium	high	medium	medium	high	1_cd3cd28
medium	medium	medium	low	medium	low	low	medium	medium	medium	low	1_cd3cd28
medium	medium	medium	low	low	high	high	high	medium	medium	medium	1_cd3cd28
medium	medium	low	medium	medium	low	low	high	low	medium	high	1_cd3cd28
medium	medium	medium	medium	high	medium	medium	medium	medium	high	medium	1_cd3cd28
medium	medium	medium	low	high	low	low	low	medium	medium	medium	1_cd3cd28
high	medium	NA	high	high	low	low	medium	medium	medium	medium	1_cd3cd28
medium	medium	medium	medium	low	low	medium	high	high	high	medium	1_cd3cd28
medium	medium	low	medium	low	low	low	medium	high	high	high	1_cd3cd28
high	medium	medium	low	low	medium	medium	medium	low	low	high	1_cd3cd28
low	medium	medium	medium	medium	medium	medium	low	low	medium	medium	1_cd3cd28
medium	medium	medium	medium	medium	low	low	low	medium	medium	medium	1_cd3cd28
high	high	low	high	high	medium	low	medium	low	low	low	1_cd3cd28
low	low	low	medium	high	high	high	high	high	medium	medium	1_cd3cd28
low	low	low	low	high	medium	low	medium	high	high	low	1_cd3cd28
low	low	medium	medium	high	low	low	medium	high	high	high	1_cd3cd28
high	medium	low	medium	medium	medium	low	low	high	medium	medium	1_cd3cd28
medium	medium	medium	medium	medium	medium	medium	medium	low	medium	high	1_cd3cd28
high	medium	high	medium	high	low	low	medium	low	high	high	1_cd3cd28
medium	low	low	low	medium	low	low	medium	low	low	low	1_cd3cd28
medium	medium	medium	medium	medium	medium	medium	high	low	low	high	1_cd3cd28
low	low	medium	low	low	medium	medium	medium	medium	medium	medium	1_cd3cd28
medium	medium	medium	low	high	medium	low	medium	high	medium	high	1_cd3cd28
medium	medium	medium	medium	high	medium	medium	medium	medium	medium	low	1_cd3cd28
medium	medium	medium	low	medium	medium	medium	medium	medium	low	medium	1_cd3cd28
medium	medium	medium	medium	medium	low	low	low	medium	medium	medium	1_cd3cd28
medium	high	high	high	high	high	medium	high	medium	high	medium	1_cd3cd28
high	high	medium	low	medium	low	low	high	low	high	low	1_cd3cd28
medium	high	medium	medium	low	medium	medium	high	low	medium	high	1_cd3cd28
medium	medium	NA	medium	NA	medium	medium	medium	medium	medium	low	1_cd3cd28
low	low	low	medium	high	low	low	medium	medium	medium	low	1_cd3cd28
medium	medium	medium	medium	high	medium	medium	high	high	high	medium	1_cd3cd28
medium	high	medium	medium	medium	low	medium	high	medium	medium	medium	1_cd3cd28
medium	medium	medium	medium	medium	medium	medium	low	medium	medium	medium	1_cd3cd28
medium	medium	high	medium	low	high	high	high	medium	medium	medium	1_cd3cd28
low	medium	medium	low	low	low	low	medium	NA	high	low	1_cd3cd28
high	medium	high	high	high	high	medium	high	low	low	high	1_cd3cd28
medium	medium	medium	low	low	medium	medium	high	low	low	low	1_cd3cd28
high	high	medium	medium	high	low	medium	medium	NA	low	medium	1_cd3cd28
low	low	low	high	high	high	high	high	high	medium	medium	1_cd3cd28
medium	medium	medium	low	high	medium	medium	high	low	low	high	1_cd3cd28
low	medium	low	low	medium	medium	low	medium	low	medium	medium	1_cd3cd28
high	high	medium	medium	medium	low	low	low	low	low	low	1_cd3cd28
low	low	medium	high	high	medium	low	medium	medium	high	high	1_cd3cd28
low	medium	low	high	high	high	high	high	low	low	high	1_cd3cd28
high	high	medium	medium	low	high	medium	low	medium	medium	medium	1_cd3cd28
medium	low	low	high	high	medium	medium	medium	low	low	high	1_cd3cd28
low	low	low	medium	high	low	medium	medium	medium	medium	low	1_cd3cd28
medium	medium	medium	medium	high	medium	medium	medium	low	medium	high	1_cd3cd28
medium	medium	high	high	high	low	low	high	low	medium	high	1_cd3cd28
medium	medium	medium	low	medium	low	medium	high	medium	medium	medium	1_cd3cd28
high	high	high	high	high	low	low	high	medium	medium	low	1_cd3cd28
medium	medium	medium	medium	high	low	medium	medium	medium	medium	medium	1_cd3cd28
medium	medium	medium	low	high	low	low	high	medium	medium	medium	1_cd3cd28
medium	medium	medium	medium	high	medium	medium	medium	low	low	high	1_cd3cd28
high	medium	high	medium	high	low	low	medium	medium	medium	low	1_cd3cd28
