abbreviation	min	max	objective
ACALD	-1000	1000	0
ACALDt	-1000	1000	0
ACKr	-1000	1000	0
ACONTa	-1000	1000	0
ACONTb	-1000	1000	0
ACt2r	-1000	1000	0
ADK1	-1000	1000	0
AKGDH	0	1000	0
AKGt2r	-1000	1000	0
ALCD2x	-1000	1000	0
ATPM	8.39	1000	0
ATPS4r	-1000	1000	0
Biomass_Ecoli_core	0	1000	1
CO2t	-1000	1000	0
CS	0	1000	0
CYTBD	0	1000	0
D-LACt2	-1000	1000	0
ENO	-1000	1000	0
ETOHt2r	-1000	1000	0
EX_ac(e)	0	1000	0
EX_acald(e)	0	1000	0
EX_akg(e)	0	1000	0
EX_co2(e)	-1000	1000	0
EX_etoh(e)	0	1000	0
EX_for(e)	0	1000	0
EX_fru(e)	0	1000	0
EX_fum(e)	0	1000	0
EX_glc(e)	-10	1000	0
EX_gln_L(e)	0	1000	0
EX_glu_L(e)	0	1000	0
EX_h(e)	-1000	1000	0
EX_h2o(e)	-1000	1000	0
EX_lac_D(e)	0	1000	0
EX_mal_L(e)	0	1000	0
EX_nh4(e)	-1000	1000	0
EX_o2(e)	-1000	1000	0
EX_pi(e)	-1000	1000	0
EX_pyr(e)	0	1000	0
EX_succ(e)	0	1000	0
FBA	-1000	1000	0
FBP	0	1000	0
FORt2	0	1000	0
FORti	0	1000	0
FRD7	0	1000	0
FRUpts2	0	1000	0
FUM	-1000	1000	0
FUMt2_2	0	1000	0
G6PDH2r	-1000	1000	0
GAPD	-1000	1000	0
GLCpts	0	1000	0
GLNS	0	1000	0
GLNabc	0	1000	0
GLUDy	-1000	1000	0
GLUN	0	1000	0
GLUSy	0	1000	0
GLUt2r	-1000	1000	0
GND	0	1000	0
H2Ot	-1000	1000	0
ICDHyr	-1000	1000	0
ICL	0	1000	0
LDH_D	-1000	1000	0
MALS	0	1000	0
MALt2_2	0	1000	0
MDH	-1000	1000	0
ME1	0	1000	0
ME2	0	1000	0
NADH16	0	1000	0
NADTRHD	0	1000	0
NH4t	-1000	1000	0
O2t	-1000	1000	0
PDH	0	1000	0
PFK	0	1000	0
PFL	0	1000	0
PGI	-1000	1000	0
PGK	-1000	1000	0
PGL	0	1000	0
PGM	-1000	1000	0
PIt2r	-1000	1000	0
PPC	0	1000	0
PPCK	0	1000	0
PPS	0	1000	0
PTAr	-1000	1000	0
PYK	0	1000	0
PYRt2r	-1000	1000	0
RPE	-1000	1000	0
RPI	-1000	1000	0
SUCCt2_2	0	1000	0
SUCCt3	0	1000	0
SUCDi	0	1000	0
SUCOAS	-1000	1000	0
TALA	-1000	1000	0
THD2	0	1000	0
TKT1	-1000	1000	0
TKT2	-1000	1000	0
TPI	-1000	1000	0
